lng,lat
0.000000,0.000000
-79.032371,-8.094825
-77.866650,-6.227156
0.000000,0.000000
-79.028774,-8.111678
-79.016412,-8.109806
-79.043922,-8.103677
-78.768230,-8.010527
-79.030722,-8.106142
-79.056628,-8.099376
-79.021631,-8.092483
-79.055264,-8.076205
-79.055264,-8.076205
0.000000,0.000000
0.000000,0.000000
-79.028774,-8.111678
0.000000,0.000000
-79.036953,-8.109445
-79.020304,-8.107102
0.000000,0.000000
0.000000,0.000000
-79.117728,-8.076793
-79.000289,-8.080099
0.000000,0.000000
-79.028774,-8.111678
-79.020990,-8.166323
-79.028774,-8.111678
-79.048100,-8.140652
0.000000,0.000000
0.000000,0.000000
-79.028774,-8.111678
0.000000,0.000000
-79.048302,-8.096554
-79.009882,-8.111327
-79.032554,-8.115498
0.000000,0.000000
-79.024326,-8.114485
-79.032122,-8.128676
-79.028774,-8.111678
-79.044840,-8.132002
0.000000,0.000000
-79.028774,-8.111678
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
-78.768654,-8.011900
-79.050268,-8.052696
-79.028774,-8.111678
-79.028774,-8.111678
-79.032554,-8.115498
-79.049986,-8.138994
-79.025742,-8.109403
-79.024073,-8.107504
-79.028272,-8.110698
-79.032304,-8.103364
-79.024326,-8.114485
-79.028774,-8.111678
-79.045322,-8.057074
-76.961519,-12.137716
-78.768654,-8.011900
-79.025874,-8.094148
-79.028774,-8.111678
-79.004478,-8.111512
-79.032554,-8.115498
-79.043813,-8.095905
0.000000,0.000000
-70.241735,-17.997350
-70.244892,-18.011386
-70.251160,-18.013870
-74.530364,-8.385186
0.000000,0.000000
-70.251160,-18.013870
-70.241735,-17.997350
-70.251160,-18.013870
-70.231890,-18.004677
-70.251160,-18.013870
-70.251160,-18.013870
-70.241735,-17.997350
-70.250212,-18.007060
-70.251160,-18.013870
0.000000,0.000000
-70.250212,-18.007060
-70.238486,-18.018719
0.000000,0.000000
-70.244591,-17.990106
-70.244591,-17.990106
-70.274198,-18.032405
-70.238486,-18.018719
-70.274198,-18.032405
-70.251160,-18.013870
-74.530364,-8.385186
-70.241735,-17.997350
-70.251160,-18.013870
-70.279018,-18.036460
-70.231890,-18.004677
-70.274198,-18.032405
-70.251160,-18.013870
0.000000,0.000000
-70.261112,-18.024071
-70.251160,-18.013870
-70.245206,-18.008623
-70.246409,-17.985886
-77.051225,-12.056112
-77.054122,-12.059672
-77.051951,-12.063390
-77.058848,-12.062014
-77.045667,-12.058944
-77.045667,-12.058944
-77.055028,-12.063985
-77.053599,-12.065392
-77.051951,-12.063390
0.000000,0.000000
-77.054190,-12.066522
-77.054345,-12.058131
0.000000,0.000000
-77.050657,-12.054112
0.000000,0.000000
-77.052249,-12.058500
-77.046325,-12.059572
-77.058164,-12.064384
-77.050119,-12.059700
-77.048466,-12.052446
-77.044980,-12.052850
-77.043879,-12.056370
-77.042982,-12.055472
-70.496689,-18.197403
-70.496689,-18.197403
-77.066104,-12.011864
-77.081908,-12.030573
-70.496689,-18.197403
0.000000,0.000000
-70.496689,-18.197403
-70.496689,-18.197403
-70.496689,-18.197403
-70.496689,-18.197403
-77.073570,-12.022824
-77.066600,-12.033599
-70.496689,-18.197403
0.000000,0.000000
0.000000,0.000000
-78.303176,-5.911586
-77.081908,-12.030573
-70.496689,-18.197403
-70.496689,-18.197403
-77.087310,-11.998852
-77.071249,-12.030743
-77.071249,-12.030743
-77.093657,-11.997002
-70.496689,-18.197403
-70.496689,-18.197403
-70.496689,-18.197403
0.000000,0.000000
-77.061462,-12.021871
-78.303176,-5.911586
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
-70.496689,-18.197403
-77.105860,-11.982987
-70.496689,-18.197403
-77.089404,-11.945420
-70.496689,-18.197403
0.000000,0.000000
-70.496689,-18.197403
-77.120612,-11.825300
-77.071792,-12.013821
-77.058520,-12.018052
-77.057889,-12.013783
0.000000,0.000000
0.000000,0.000000
-70.496689,-18.197403
-77.060939,-12.008830
-77.062700,-12.033532
0.000000,0.000000
-77.052585,-12.028675
-77.087716,-11.999107
0.000000,0.000000
-77.088156,-11.981310
-77.079513,-12.021866
-77.085164,-12.015020
-77.050027,-12.026076
0.000000,0.000000
-78.303176,-5.911586
-78.303176,-5.911586
-77.086616,-12.035851
-77.090563,-12.030276
-70.496689,-18.197403
0.000000,0.000000
-70.496689,-18.197403
-77.083299,-11.991109
-77.084611,-12.009354
-77.092191,-11.955025
-77.045405,-12.036113
0.000000,0.000000
-77.045198,-12.029131
0.000000,0.000000
-77.087716,-11.999107
-70.496689,-18.197403
-70.496689,-18.197403
0.000000,0.000000
-77.013841,-12.067912
-77.015975,-12.083268
0.000000,0.000000
-77.030513,-12.071537
0.000000,0.000000
-77.020060,-12.097677
-77.019472,-12.088740
-77.027453,-12.071180
-77.011879,-12.069168
-73.246891,-3.753503
-77.013841,-12.067912
-77.012443,-12.072076
-77.017436,-12.074717
-77.027453,-12.071180
0.000000,0.000000
-77.008065,-12.084900
-77.030513,-12.071537
0.000000,0.000000
-77.025822,-12.072434
-77.003897,-12.071653
0.000000,0.000000
-77.011768,-12.078372
-77.023457,-12.084300
0.000000,0.000000
-77.027453,-12.071180
-77.033465,-12.064066
0.000000,0.000000
-77.023720,-12.082718
-77.019472,-12.088740
-73.246891,-3.753503
-77.025755,-12.077848
-77.011768,-12.078372
-77.023930,-12.070441
-77.017647,-12.085956
-77.012758,-12.086027
-77.016417,-12.073358
0.000000,0.000000
0.000000,0.000000
-77.011768,-12.078372
-77.019472,-12.088740
-77.027453,-12.071180
-77.013841,-12.067912
-77.006140,-12.072791
-77.017436,-12.074717
0.000000,0.000000
0.000000,0.000000
-77.016263,-12.066905
-77.022361,-12.087817
0.000000,0.000000
-77.015716,-12.075581
-77.011768,-12.078372
0.000000,0.000000
0.000000,0.000000
-77.023930,-12.070441
-77.006295,-12.062065
0.000000,0.000000
0.000000,0.000000
-77.029580,-12.061715
-77.011879,-12.069168
-79.836514,-6.803937
-77.019528,-12.077195
-76.142458,-13.397431
-77.025672,-12.081226
-77.023930,-12.070441
-77.040674,-11.932861
-77.040674,-11.932861
-77.052034,-11.897758
-77.022819,-11.909134
0.000000,0.000000
-77.040674,-11.932861
-77.050177,-11.941174
-77.040674,-11.932861
-77.044327,-11.959644
-77.070844,-11.946067
0.000000,0.000000
-77.040674,-11.932861
-77.065034,-11.953002
-77.055589,-11.942208
-77.052034,-11.897758
-77.036721,-11.905870
-77.052034,-11.897758
-77.045937,-11.936117
-77.040674,-11.932861
-77.040674,-11.932861
-77.052034,-11.897758
-77.036314,-11.941740
0.000000,0.000000
-77.040674,-11.932861
-77.052034,-11.897758
-77.056718,-11.960282
-77.056468,-11.956760
-77.040674,-11.932861
-77.060743,-11.953999
-77.036637,-11.944946
-77.040674,-11.932861
-77.064611,-11.949796
-77.050014,-11.916998
-77.046036,-11.926297
-77.063844,-11.921434
-76.967117,-12.059330
0.000000,0.000000
-76.921335,-12.031316
-76.982791,-12.073549
0.000000,0.000000
0.000000,0.000000
-76.959293,-12.060490
-76.982010,-12.081666
-76.896873,-12.038728
0.000000,0.000000
0.000000,0.000000
-76.910767,-12.009320
-76.975783,-12.063786
-76.975783,-12.063786
-76.973384,-12.062709
-76.981796,-12.068351
-76.890907,-12.016571
-76.936470,-12.046189
-76.980790,-12.080725
-76.921335,-12.031316
-76.929558,-12.035070
0.000000,0.000000
-76.937449,-12.040632
0.000000,0.000000
-76.964188,-12.062362
-76.937708,-12.043746
-76.947819,-12.056887
-76.983773,-12.064301
0.000000,0.000000
-76.976070,-12.066241
0.000000,0.000000
-76.977875,-12.073955
-76.896873,-12.038728
-76.976070,-12.066241
-76.921624,-12.037153
0.000000,0.000000
-76.934137,-12.046304
-76.961230,-12.059164
-76.896873,-12.038728
-76.975366,-12.076336
-76.967117,-12.059330
-76.896873,-12.038728
-76.983871,-12.076054
-76.896873,-12.038728
-76.896873,-12.038728
-76.918890,-12.025964
-76.976907,-12.071361
-76.991411,-12.060347
-76.967427,-12.064456
-76.896873,-12.038728
0.000000,0.000000
0.000000,0.000000
-76.937449,-12.040632
-76.979723,-12.073342
-76.937449,-12.040632
-76.927847,-12.028847
-76.982478,-12.068939
-76.987073,-12.068723
0.000000,0.000000
-76.890907,-12.016571
0.000000,0.000000
-76.271697,-6.467670
-76.271697,-6.467670
-76.271697,-6.467670
0.000000,0.000000
0.000000,0.000000
-74.565896,-8.385871
-74.605781,-8.301676
0.000000,0.000000
0.000000,0.000000
-73.297906,-3.783352
0.000000,0.000000
-73.616065,-13.785273
-73.616065,-13.785273
0.000000,0.000000
-76.993555,-12.075964
-76.997046,-12.082125
0.000000,0.000000
0.000000,0.000000
-76.997046,-12.082125
0.000000,0.000000
0.000000,0.000000
-76.994267,-12.066140
0.000000,0.000000
-76.991260,-12.190871
-76.997757,-12.076876
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
-79.044840,-8.132002
-79.044840,-8.132002
0.000000,0.000000
-79.044840,-8.132002
-79.044840,-8.132002
0.000000,0.000000
0.000000,0.000000
-78.064141,-6.003604
-78.064141,-6.003604
0.000000,0.000000
0.000000,0.000000
-78.064141,-6.003604
-72.878874,-13.637348
-72.782300,-13791.000000
0.000000,0.000000
0.000000,0.000000
-72.878874,-13.637348
-72.782300,-13791.000000
-73.833658,-14.005858
-72.885365,-13.631104
0.000000,0.000000
-72.875428,-13.627866
-77.030657,-12.059116
-72.863796,-13.611966
-72.884747,-13.635908
-77.008411,-12.001725
0.000000,0.000000
-76.996443,-11.969312
-76.996469,-12.023542
-77.008411,-12.001725
-77.007515,-11.973199
-77.005066,-11.978850
-77.008411,-12.001725
-77.002089,-11.995546
0.000000,0.000000
-76.986577,-12.015146
-77.013911,-12.029991
0.000000,0.000000
-77.008411,-12.001725
-77.008411,-12.001725
0.000000,0.000000
-76.997190,-12.024639
-77.000405,-11.974837
-77.008411,-12.001725
-77.011555,-11.986180
-77.010479,-11.987023
-76.990969,-12.021470
-77.008411,-12.001725
0.000000,0.000000
-77.001174,-11.984763
-76.978120,-12.013017
-77.008411,-12.001725
-76.993692,-11.974467
-77.004215,-11.972233
-77.010085,-12.015625
-77.008411,-12.001725
0.000000,0.000000
0.000000,0.000000
-76.992226,-11.976083
-77.000024,-11.966549
0.000000,0.000000
0.000000,0.000000
-76.998992,-11.978530
-76.958358,-11.921884
-77.008411,-12.001725
-76.992226,-11.976083
-77.008411,-12.001725
0.000000,0.000000
-77.009640,-12.010008
-77.015614,-11.980187
-71.595863,-13.315270
-73.071874,-13.858100
-70.229861,-18.010882
-79.029641,-8.113157
-75.140173,-13.071825
-73.207133,-12.902149
-77.586087,-7.961753
-69.459157,-16.213287
0.000000,0.000000
-70.012302,-15.864569
-70.821278,-14.033857
-70.122292,-15.496136
-70.969152,-16.672547
-70.474036,-13.795109
-70.028391,-15.840758
-70.027283,-15.836364
0.000000,0.000000
-79.849965,-6.769566
-79.849965,-6.769566
-79.849965,-6.769566
-70.275748,-15.053056
-70.128745,-15.481093
-70.028391,-15.840758
-78.523951,-7.150744
-70.277015,-15.053842
0.000000,0.000000
-77.002477,-12.094212
0.000000,0.000000
-76.989863,-12.103437
-76.995690,-12.096452
-77.005737,-12.091052
0.000000,0.000000
-77.000567,-12.091926
-77.013989,-12.088993
-76.995690,-12.096452
0.000000,0.000000
0.000000,0.000000
-76.997661,-12.082887
0.000000,0.000000
-76.998228,-12.116800
-76.989863,-12.103437
0.000000,0.000000
-76.984267,-12.086465
0.000000,0.000000
-76.998228,-12.116800
0.000000,0.000000
0.000000,0.000000
-76.980708,-12.110301
-76.989863,-12.103437
0.000000,0.000000
0.000000,0.000000
-76.998367,-12.099242
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
-77.005417,-12.098018
-77.004102,-12.089693
-76.995690,-12.096452
-76.984267,-12.086465
-76.995894,-12.112654
-77.013989,-12.088993
-76.997661,-12.082887
0.000000,0.000000
0.000000,0.000000
-76.995690,-12.096452
-76.995690,-12.096452
-77.002477,-12.094212
0.000000,0.000000
-77.002490,-12.093956
-76.998228,-12.116800
-76.992177,-12.093196
-77.002490,-12.093956
-77.013989,-12.088993
-77.002477,-12.094212
0.000000,0.000000
-77.008971,-12.111686
-76.984267,-12.086465
-76.937026,-12.213503
-76.937026,-12.213503
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
-76.937026,-12.213503
0.000000,0.000000
-76.937026,-12.213503
-76.937026,-12.213503
-76.934965,-12.200320
-76.937026,-12.213503
-76.937026,-12.213503
-76.937026,-12.213503
0.000000,0.000000
-76.934956,-12.212337
-76.937026,-12.213503
-76.937026,-12.213503
0.000000,0.000000
-76.937026,-12.213503
-71.534061,-16.399234
-71.538596,-16.412640
-71.541390,-16.409624
-71.540145,-16.405840
-71.907048,-17.103078
-71.536961,-16.398867
-72.111088,-15.726745
-71.907048,-17.103078
-71.789654,-17.114443
0.000000,0.000000
-71.549093,-16.402433
-72.705022,-16.591930
-71.585499,-16.428304
-70.002343,-12.892504
-71.538066,-16.395349
-71.541979,-16.397541
-71.539414,-16.406769
-71.517433,-16.423103
-71.531444,-16.391961
-71.529362,-16.434990
-71.525436,-16.400923
-72.460753,-16.168864
-71.536961,-16.398867
-71.907048,-17.103078
0.000000,0.000000
-77.005447,-11.960247
-76.507365,-6.265595
-76.518328,-6.418788
0.000000,0.000000
-79.839483,-6.761702
-75.742888,-14.066614
-75.742888,-14.066614
-77.031566,-12.096094
-77.025676,-12.092290
-77.023775,-12.094775
-77.048211,-12.094062
-77.048211,-12.094062
0.000000,0.000000
-77.031201,-12.094631
-70.989701,-17.876852
-70.989701,-17.876852
-71.545835,-16.324028
-77.028069,-12.098209
-77.025676,-12.092290
-71.562634,-16.407849
-71.542985,-16.408200
0.000000,0.000000
-70.989701,-17.876852
-77.077621,-12.056014
-71.512396,-16.423314
-77.040806,-12.106764
-76.984267,-12.086465
-77.019035,-12.091147
-76.984267,-12.086465
-77.048635,-12.085163
-77.052133,-12.107205
-75.728454,-14.075809
-72.268328,-13.258419
-77.021211,-12.099729
-77.052133,-12.107205
-77.046166,-12.103895
0.000000,0.000000
0.000000,0.000000
-77.011782,-12.113857
-77.065181,-11.994205
-77.025815,-12.093434
-77.023316,-12.095434
-77.026935,-12.097223
-77.031566,-12.096094
-76.984267,-12.086465
0.000000,0.000000
-75.217014,-12.047557
-76.984267,-12.086465
-76.984267,-12.086465
-76.984267,-12.086465
-76.984267,-12.086465
-77.029980,-12.131837
-71.512396,-16.423314
-75.724535,-14.064057
-77.017727,-12.135864
-77.031566,-12.096094
-77.061147,-11.993813
-75.742888,-14.066614
-77.053979,-12.089618
-81.231111,-4.250793
-77.052133,-12.107205
-77.027801,-12.094154
0.000000,0.000000
-77.028069,-12.098209
0.000000,0.000000
0.000000,0.000000
0.000000,0.000000
-70.123996,-15.486047
0.000000,0.000000
-70.127070,-15.492588
-70.145894,-15.488677
-70.123996,-15.486047
-70.130928,-15.485492
-69.465086,-14.323684
