index,reclat,reclong
234,-12.085956,-77.017646
235,-12.086027,-77.012758
236,-12.073358,-77.016417
237,0.000000,0.000000
238,0.000000,0.000000
239,-12.078372,-77.011768
240,-12.088740,-77.019472
241,-12.071179,-77.027453
242,-12.067912,-77.013841
243,-12.072791,-77.006140
244,-12.074717,-77.017436
245,0.000000,0.000000
246,0.000000,0.000000
247,-12.066905,-77.016263
248,-12.087817,-77.022361
249,0.000000,0.000000
250,-12.075581,-77.015716
251,-12.078372,-77.011768
252,0.000000,0.000000
253,0.000000,0.000000
254,-12.070441,-77.023930
255,-12.062065,-77.006295
256,0.000000,0.000000
257,0.000000,0.000000
258,-12.061715,-77.029580
259,-12.069168,-77.011879
260,-6.803937,-79.836514
261,-12.077195,-77.019528
262,-13.397431,-76.142458
263,-12.081226,-77.025672
264,-12.070441,-77.023930
265,-11.932861,-77.040674
266,-11.932861,-77.040674
267,-11.897758,-77.052034
268,-11.909134,-77.022819
269,0.000000,0.000000
270,-11.932861,-77.040674
271,-11.941174,-77.050177
272,-11.932861,-77.040674
273,-11.959644,-77.044327
274,-11.946067,-77.070844
275,0.000000,0.000000
276,-11.932861,-77.040674
277,-11.953002,-77.065034
278,-11.942208,-77.055589
279,-11.897758,-77.052034
280,-11.905870,-77.036721
281,-11.897758,-77.052034
282,-11.936117,-77.045937
283,-11.932861,-77.040674
284,-11.932861,-77.040674
285,-11.897758,-77.052034
286,-11.941740,-77.036314
287,0.000000,0.000000
288,-11.932861,-77.040674
289,-11.897758,-77.052034
290,-11.960282,-77.056718
291,-11.956760,-77.056468
292,-11.932861,-77.040674
293,-11.953999,-77.060743
294,-11.944946,-77.036637
295,-11.932861,-77.040674
296,-11.949796,-77.064611
297,-11.916998,-77.050014
298,-11.926297,-77.046036
299,-11.921434,-77.063844
300,-12.059330,-76.967117
301,0.000000,0.000000
302,-12.031316,-76.921335
303,-12.073549,-76.982791
304,0.000000,0.000000
305,0.000000,0.000000
306,-12.060490,-76.959293
307,-12.081666,-76.982010
308,-12.038728,-76.896873
309,0.000000,0.000000
310,0.000000,0.000000
311,-12.009320,-76.910767
312,-12.063786,-76.975783
313,-12.063786,-76.975783
314,-12.062709,-76.973384
315,-12.068351,-76.981796
316,-12.016571,-76.890907
317,-12.046189,-76.936470
318,-12.080725,-76.980790
319,-12.031316,-76.921335
320,-12.035070,-76.929558
321,0.000000,0.000000
322,-12.040632,-76.937449
323,0.000000,0.000000
324,-12.062362,-76.964188
325,-12.043746,-76.937708
326,-12.056887,-76.947819
327,-12.064301,-76.983773
328,0.000000,0.000000
329,-12.066241,-76.976070
330,0.000000,0.000000
331,-12.073955,-76.977875
332,-12.038728,-76.896873
333,-12.066241,-76.976070
334,-12.037153,-76.921624
335,0.000000,0.000000
336,-12.046304,-76.934137
337,-12.059164,-76.961230
338,-12.038728,-76.896873
339,-12.076336,-76.975366
340,-12.059330,-76.967117
341,-12.038728,-76.896873
342,-12.076054,-76.983871
343,-12.038728,-76.896873
344,-12.038728,-76.896873
345,-12.025964,-76.918890
346,-12.071361,-76.976907
347,-12.060347,-76.991411
348,-12.064456,-76.967427
349,-12.038728,-76.896873
350,0.000000,0.000000
351,0.000000,0.000000
352,-12.040632,-76.937449
353,-12.073342,-76.979723
354,-12.040632,-76.937449
355,-12.028847,-76.927847
356,-12.068939,-76.982478
357,-12.068723,-76.987073
358,0.000000,0.000000
359,-12.016571,-76.890907
360,0.000000,0.000000
361,-6.467670,-76.271697
362,-6.467670,-76.271697
363,-6.467670,-76.271697
